Name,Lat,Lng,Address,Features,Agoda,Slug
みを 京 縁結び味こんぶ,35.0017161,135.7505598,〒600-8398 京都府京都市下京区瀬戸屋町３０５,japanese restaurant | japanese izakaya restaurant | cafe | restaurant | point of interest | food | Google rating 4.8,
パーラー喫茶結社,35.0326892,135.7414489,〒602-8304 京都府京都市上京区作庵町５１３,cafe | coffee shop | food store | food | point of interest | store | Google rating 4.7,
cafe art Space(2f),35.0176153,135.7592231,〒602-8023 京都府京都市上京区春日町４３４−１,cafe | food | point of interest | establishment | Google rating 4.8,
ドトールコーヒーショップ 京阪三条店,35.0090118,135.7726095,〒605-0000 京都府京都市東山区大橋町 三条大橋東詰,cafe | coffee shop | food store | food | point of interest | store | Google rating 3.3,
ユニバーサルカフェ nakuiro-hairo,33.5902990,130.4016820,〒810-0001 福岡県福岡市中央区天神１丁目８−１ 福岡市役所 1階,cafe | coffee shop | point of interest | food store | food | store | Google rating 3.6,
PRONTO 新幹線博多駅店,33.5892616,130.4208495,〒812-0012 福岡県福岡市博多区博多駅中央街１−１１−１ 新幹線博多駅2F ひかり改札前,cafe | japanese izakaya restaurant | bar | japanese restaurant | restaurant | food | Google rating 3.7,
焼き芋ここん,33.5824894,130.3965351,〒810-0023 福岡県福岡市中央区警固１丁目１−１,cafe | point of interest | food | establishment | Google rating 4.8,
喫茶Cotty / STEREO COFFEE,33.5769851,130.4084940,〒810-0011 福岡県福岡市中央区高砂２丁目１５−２８,cafe | food | point of interest | establishment | Google rating 4.1,
롯폰폰,33.5743148,130.3779570,〒810-0044 福岡県Ward 中央区六本松４丁目７−４,coffee shop | cafe | food store | store | food | point of interest,
cafe & bar Brisa do,33.5974466,130.3807239,〒810-0075 福岡県福岡市中央区港３丁目２−１,coffee shop | cafe | food store | store | point of interest | food | Google rating 4.5,
PF INC,33.6035935,130.3989743,〒812-0021 福岡県福岡市博多区築港本町１３−１３,coffee shop | cafe | food store | store | food | point of interest | Google rating 4,
アンクル 高宮店,33.5666956,130.4144048,〒815-0083 福岡県福岡市南区高宮５丁目１−１−２０４,cafe | coffee shop | food store | food | point of interest | store | Google rating 4,
OLIOLI,33.5874179,130.4321614,〒812-0007 福岡県福岡市博多区東比恵４丁目４−１３ ＩＧビレッジ,cafe | point of interest | food | establishment | Google rating 4.3,
darts,33.5805376,130.4199638,〒812-0017 福岡県福岡市博多区美野島２丁目１−３９ キャメロット・パークビュー,cafe | food | point of interest | establishment,
光安青霞園茶舗本店(みつやすせいかえん),33.6001761,130.4101640,〒812-0035 福岡県福岡市博多区中呉服町８−１ グランフォーレプライム博多,tea store | cafe | dessert shop | confectionery | food store | japanese restaurant | Google rating 4.7,
福岡「千香」 CHICA,33.5702125,130.3887304,〒810-0033 福岡県福岡市中央区小笹５丁目２０−１９,cafe | food | point of interest | establishment | Google rating 5,
長崎阿蘭陀珈琲館,33.5645040,130.4007440,〒815-0071 福岡県福岡市南区平和２丁目１６−３,cafe | coffee shop | western restaurant | japanese restaurant | restaurant | point of interest | Google rating 4.2,
食事と喫茶さくらの樹,33.5937193,130.4291331,〒812-0008 福岡県福岡市博多区東光２丁目２０−２８,cafe | food | point of interest | establishment | Google rating 4.2,
筥崎 鳩太郎商店,33.6146002,130.4219224,〒812-0053 福岡県福岡市東区箱崎１丁目４４−２０,japanese izakaya restaurant | cafe | japanese restaurant | restaurant | point of interest | food | Google rating 4.2,
西日本シティ銀行ココロ館カフェ,33.5836294,130.3721699,〒810-0053 福岡県福岡市中央区鳥飼２丁目１−１１ 〒810-0053 ２ 丁目 １−１１−２F,cafe | food | point of interest | establishment | Google rating 4,
株式会社,33.5747576,130.3587317,〒814-0101 福岡県福岡市城南区荒江１丁目３５−２１ プライムステージ荒江,cafe | food | point of interest | establishment | Google rating 3.9,
マクドナルド 筑紫通り店,33.5730817,130.4381733,〒812-0896 福岡県福岡市博多区東光寺町２丁目９−４５,fast food restaurant | coffee shop | cafe | cafeteria | hamburger restaurant | american restaurant | Google rating 3.3,
ドラグーン博多,33.5925871,130.4175055,〒812-0011 福岡県福岡市博多区博多駅前１丁目３−２２ 4F,toy store | cafe | point of interest | food | store | association or organization | Google rating 4.7,
清川テラス cafe＋ 農園カフェ,33.5814113,130.4088021,〒810-0005 福岡県福岡市中央区清川１丁目１２−４,coffee shop | cafe | food store | food | point of interest | store | Google rating 4.7,
KiosQ coffee rotary,43.0681206,141.3506360,〒060-0005 北海道札幌市中央区北５条西２丁目 札幌ステラプレイス 4階,coffee shop | cafe | food store | food | point of interest | store | Google rating 3.9,
